Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,7,74.074,0.583,0.867,0.778,0.722,0.722,0.727,0.796
5,27,10,62.963,0.4,0.682,0.222,0.833,0.833,0.518,0.488
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.228
5,27,8,70.37,1.0,0.692,0.111,1.0,1.0,0.509,0.284
5,36,8,77.778,0.917,0.708,0.611,0.944,0.944,0.771,0.944
10,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.725
10,36,14,61.111,0.833,0.567,0.278,0.944,0.944,0.562,0.861
20,36,15,58.333,1.0,0.545,0.167,1.0,1.0,0.496,0.673
5,36,20,44.444,0.25,0.469,0.056,0.833,0.833,0.345,0.698
20,36,20,44.444,0.0,0.471,0.0,0.889,0.889,0.308,0.392
