Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,1,96.667,1.0,0.938,0.933,1.0,1.0,0.967,0.951
15,30,2,93.333,1.0,0.882,0.867,1.0,1.0,0.933,0.996
5,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.991
10,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.967
10,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.953
5,35,1,97.143,0.952,1.0,1.0,0.933,0.933,0.971,1.0
20,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.98
5,35,2,94.286,1.0,0.909,0.867,1.0,1.0,0.94,1.0
5,35,3,91.429,1.0,0.87,0.8,1.0,1.0,0.91,0.947
10,35,6,82.857,0.846,0.818,0.733,0.9,0.9,0.821,0.89
