Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,11,59.259,0.333,0.667,0.222,0.778,0.778,0.492,0.407
20,27,13,51.852,0.0,0.609,0.0,0.778,0.778,0.341,0.259
0,27,4,85.185,0.857,0.85,0.667,0.944,0.944,0.822,0.858
5,27,12,55.556,0.286,0.65,0.222,0.722,0.722,0.467,0.401
15,36,20,44.444,0.4,0.462,0.222,0.667,0.667,0.416,0.407
10,36,19,47.222,0.333,0.485,0.056,0.889,0.889,0.361,0.64
5,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.529
5,36,20,44.444,0.4,0.462,0.222,0.667,0.667,0.416,0.454
10,36,11,69.444,0.889,0.63,0.444,0.944,0.944,0.674,0.84
15,36,17,52.778,0.571,0.517,0.222,0.833,0.833,0.479,0.636
