Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,7,74.074,0.667,0.762,0.444,0.889,0.889,0.677,0.809
0,27,9,66.667,0.5,0.68,0.111,0.944,0.944,0.486,0.346
10,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.556
5,27,1,96.296,1.0,0.947,0.889,1.0,1.0,0.957,0.981
20,36,17,52.778,1.0,0.514,0.056,1.0,1.0,0.392,0.275
10,36,16,55.556,0.75,0.531,0.167,0.944,0.944,0.476,0.608
5,36,17,52.778,1.0,0.514,0.056,1.0,1.0,0.392,0.565
20,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.537
5,36,22,38.889,0.0,0.438,0.0,0.778,0.778,0.28,0.441
0,36,12,66.667,1.0,0.6,0.333,1.0,1.0,0.625,0.66
