Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,12,60.0,0.6,0.6,0.6,0.6,0.6,0.6,0.576
20,30,18,40.0,0.4,0.4,0.4,0.4,0.4,0.4,0.471
20,30,15,50.0,0.5,0.5,0.467,0.533,0.533,0.499,0.538
10,30,10,66.667,0.857,0.609,0.4,0.933,0.933,0.641,0.569
10,35,19,45.714,0.529,0.389,0.45,0.467,0.467,0.455,0.493
5,35,18,48.571,0.562,0.421,0.45,0.533,0.533,0.485,0.527
15,35,17,51.429,0.565,0.417,0.65,0.333,0.333,0.488,0.475
20,35,17,51.429,0.438,0.579,0.467,0.55,0.55,0.508,0.55
20,35,17,51.429,0.4,0.56,0.267,0.7,0.7,0.471,0.557
10,35,22,37.143,0.267,0.45,0.267,0.45,0.45,0.358,0.408
