Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,10,62.963,0.429,0.7,0.333,0.778,0.778,0.556,0.682
10,27,12,55.556,0.333,0.667,0.333,0.667,0.667,0.5,0.37
15,27,10,62.963,0.333,0.667,0.111,0.889,0.889,0.464,0.593
5,27,4,85.185,0.727,0.938,0.889,0.833,0.833,0.841,0.944
5,36,13,63.889,0.727,0.6,0.444,0.833,0.833,0.625,0.728
10,36,11,69.444,1.0,0.621,0.389,1.0,1.0,0.663,0.728
5,36,17,52.778,1.0,0.514,0.056,1.0,1.0,0.392,0.346
20,36,14,61.111,0.643,0.591,0.5,0.722,0.722,0.606,0.588
10,36,10,72.222,1.0,0.643,0.444,1.0,1.0,0.699,0.898
10,36,18,50.0,0.5,0.5,0.111,0.889,0.889,0.411,0.525
