Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,11,63.333,0.75,0.591,0.4,0.867,0.867,0.612,0.707
20,30,11,63.333,0.7,0.6,0.467,0.8,0.8,0.623,0.693
20,30,13,56.667,0.556,0.583,0.667,0.467,0.467,0.562,0.564
10,30,10,66.667,0.727,0.632,0.533,0.8,0.8,0.661,0.738
20,35,13,62.857,0.733,0.55,0.55,0.733,0.733,0.629,0.763
15,35,11,68.571,0.737,0.625,0.7,0.667,0.667,0.682,0.767
5,35,14,60.0,0.75,0.522,0.45,0.8,0.8,0.597,0.75
20,35,9,74.286,0.688,0.789,0.733,0.75,0.75,0.739,0.883
15,35,10,71.429,0.647,0.778,0.733,0.7,0.7,0.712,0.843
10,35,10,71.429,0.857,0.679,0.4,0.95,0.95,0.669,0.783
