Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,11,59.259,0.25,0.652,0.111,0.833,0.833,0.443,0.432
0,27,10,62.963,0.0,0.654,0.0,0.944,0.944,0.386,0.068
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.617
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.679
5,36,16,55.556,1.0,0.529,0.111,1.0,1.0,0.446,0.852
10,36,17,52.778,1.0,0.514,0.056,1.0,1.0,0.392,0.364
10,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.543
5,36,28,22.222,0.143,0.273,0.111,0.333,0.333,0.212,0.13
0,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.633
5,36,24,33.333,0.375,0.25,0.5,0.167,0.167,0.314,0.446
