Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,13,56.667,1.0,0.536,0.133,1.0,1.0,0.466,0.671
5,30,15,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.827
15,30,15,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.564
15,30,11,63.333,0.833,0.583,0.333,0.933,0.933,0.597,0.573
20,35,10,71.429,1.0,0.6,0.5,1.0,1.0,0.708,0.73
20,35,15,57.143,1.0,0.5,0.25,1.0,1.0,0.533,0.75
20,35,13,62.857,1.0,0.536,0.35,1.0,1.0,0.608,0.67
20,35,15,57.143,0.0,0.571,0.0,1.0,1.0,0.364,0.547
10,35,12,65.714,1.0,0.625,0.2,1.0,1.0,0.551,0.61
10,35,11,68.571,1.0,0.645,0.267,1.0,1.0,0.603,0.787
