Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,7,76.667,0.9,0.7,0.6,0.933,0.933,0.76,0.911
5,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.911
5,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.969
20,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.956
10,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.927
20,35,9,74.286,0.923,0.636,0.6,0.933,0.933,0.742,0.91
5,35,7,80.0,1.0,0.682,0.65,1.0,1.0,0.799,0.9
15,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.91
15,35,4,88.571,0.923,0.864,0.8,0.95,0.95,0.881,0.87
15,35,6,82.857,0.909,0.792,0.667,0.95,0.95,0.816,0.883
