Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,6,77.778,0.714,0.8,0.556,0.889,0.889,0.734,0.821
10,27,9,66.667,0.5,0.737,0.444,0.778,0.778,0.614,0.735
5,27,5,81.481,0.75,0.842,0.667,0.889,0.889,0.785,0.827
5,27,9,66.667,0.5,0.8,0.667,0.667,0.667,0.649,0.673
5,36,19,47.222,0.333,0.485,0.056,0.889,0.889,0.361,0.559
5,36,14,61.111,0.833,0.567,0.278,0.944,0.944,0.562,0.653
5,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.864
15,36,14,61.111,0.7,0.577,0.389,0.833,0.833,0.591,0.65
5,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.573
5,36,19,47.222,0.333,0.485,0.056,0.889,0.889,0.361,0.446
