Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,7,74.074,0.583,0.867,0.778,0.722,0.722,0.727,0.889
10,27,5,81.481,0.833,0.81,0.556,0.944,0.944,0.769,0.932
10,27,5,81.481,1.0,0.783,0.444,1.0,1.0,0.747,0.84
5,27,13,51.852,0.357,0.692,0.556,0.5,0.5,0.508,0.556
5,36,7,80.556,1.0,0.72,0.611,1.0,1.0,0.798,0.963
5,36,16,55.556,1.0,0.529,0.111,1.0,1.0,0.446,0.67
5,36,9,75.0,1.0,0.667,0.5,1.0,1.0,0.733,0.688
5,36,17,52.778,0.667,0.515,0.111,0.944,0.944,0.429,0.691
5,36,8,77.778,1.0,0.692,0.556,1.0,1.0,0.766,0.731
15,36,14,61.111,1.0,0.562,0.222,1.0,1.0,0.542,0.645
