Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,12,55.556,0.333,0.667,0.333,0.667,0.667,0.5,0.485
5,27,12,55.556,0.385,0.714,0.556,0.556,0.556,0.54,0.549
5,27,11,59.259,0.4,0.706,0.444,0.667,0.667,0.553,0.475
5,27,7,74.074,0.571,0.923,0.889,0.667,0.667,0.735,0.815
10,36,19,47.222,0.467,0.476,0.389,0.556,0.556,0.469,0.468
5,36,19,47.222,0.467,0.476,0.389,0.556,0.556,0.469,0.454
10,36,18,50.0,0.5,0.5,0.333,0.667,0.667,0.486,0.494
5,36,14,61.111,0.591,0.643,0.722,0.5,0.5,0.606,0.667
10,36,20,44.444,0.458,0.417,0.611,0.278,0.278,0.429,0.451
15,36,19,47.222,0.474,0.471,0.5,0.444,0.444,0.472,0.506
