Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,9,66.667,0.5,0.765,0.556,0.722,0.722,0.635,0.691
15,27,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,27,5,81.481,0.833,0.81,0.556,0.944,0.944,0.769,0.623
5,27,7,74.074,1.0,0.72,0.222,1.0,1.0,0.6,0.691
5,36,14,61.111,1.0,0.562,0.222,1.0,1.0,0.542,0.654
5,36,1,97.222,1.0,0.947,0.944,1.0,1.0,0.972,0.954
5,36,12,66.667,0.75,0.625,0.5,0.833,0.833,0.657,0.586
5,36,15,58.333,0.714,0.552,0.278,0.889,0.889,0.54,0.679
15,36,12,66.667,0.875,0.607,0.389,0.944,0.944,0.639,0.719
10,36,19,47.222,0.0,0.486,0.0,0.944,0.944,0.321,0.66
