Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,8,73.333,0.818,0.684,0.6,0.867,0.867,0.729,0.804
5,30,4,86.667,0.824,0.923,0.933,0.8,0.8,0.866,0.973
10,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.929
5,30,12,60.0,0.636,0.579,0.467,0.733,0.733,0.593,0.72
10,35,8,77.143,0.929,0.667,0.65,0.933,0.933,0.771,0.867
20,35,7,80.0,0.882,0.722,0.75,0.867,0.867,0.799,0.883
10,35,10,71.429,0.778,0.647,0.7,0.733,0.733,0.712,0.817
10,35,7,80.0,0.786,0.81,0.733,0.85,0.85,0.794,0.793
5,35,8,77.143,0.769,0.773,0.667,0.85,0.85,0.762,0.89
10,35,7,80.0,1.0,0.741,0.533,1.0,1.0,0.773,0.84
