Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.947
15,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.987
20,30,6,80.0,1.0,0.714,0.6,1.0,1.0,0.792,0.951
10,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.929
20,35,7,80.0,1.0,0.682,0.65,1.0,1.0,0.799,0.933
15,35,5,85.714,1.0,0.75,0.75,1.0,1.0,0.857,0.877
15,35,6,82.857,1.0,0.714,0.7,1.0,1.0,0.828,0.913
15,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.883
10,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.953
15,35,5,85.714,0.917,0.826,0.733,0.95,0.95,0.849,0.923
