Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,7,76.667,1.0,0.682,0.533,1.0,1.0,0.753,0.729
20,30,8,73.333,1.0,0.652,0.467,1.0,1.0,0.713,0.791
5,30,12,60.0,0.8,0.56,0.267,0.933,0.933,0.55,0.591
10,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.929
15,35,10,71.429,1.0,0.6,0.5,1.0,1.0,0.708,0.877
15,35,15,57.143,1.0,0.5,0.25,1.0,1.0,0.533,0.727
20,35,11,68.571,0.909,0.583,0.5,0.933,0.933,0.682,0.77
10,35,3,91.429,0.875,0.947,0.933,0.9,0.9,0.913,0.937
20,35,7,80.0,1.0,0.741,0.533,1.0,1.0,0.773,0.867
5,35,6,82.857,0.846,0.818,0.733,0.9,0.9,0.821,0.827
