Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.867
10,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.947
15,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.947
5,30,2,93.333,1.0,0.882,0.867,1.0,1.0,0.933,0.956
5,35,7,80.0,0.933,0.7,0.7,0.933,0.933,0.8,0.89
5,35,5,85.714,1.0,0.75,0.75,1.0,1.0,0.857,0.96
10,35,5,85.714,0.941,0.778,0.8,0.933,0.933,0.857,0.88
10,35,4,88.571,0.923,0.864,0.8,0.95,0.95,0.881,0.957
15,35,3,91.429,0.875,0.947,0.933,0.9,0.9,0.913,0.993
10,35,4,88.571,0.923,0.864,0.8,0.95,0.95,0.881,0.95
