Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,9,66.667,0.5,0.765,0.556,0.722,0.722,0.635,0.704
10,27,6,77.778,0.8,0.773,0.444,0.944,0.944,0.711,0.833
5,27,5,81.481,1.0,0.783,0.444,1.0,1.0,0.747,0.901
5,27,11,59.259,0.375,0.684,0.333,0.722,0.722,0.528,0.574
5,36,14,61.111,0.667,0.583,0.444,0.778,0.778,0.6,0.645
5,36,10,72.222,0.833,0.667,0.556,0.889,0.889,0.714,0.843
0,36,8,77.778,1.0,0.692,0.556,1.0,1.0,0.766,0.84
10,36,15,58.333,0.8,0.548,0.222,0.944,0.944,0.521,0.668
20,36,20,44.444,0.25,0.469,0.056,0.833,0.833,0.345,0.485
5,36,13,63.889,1.0,0.581,0.278,1.0,1.0,0.585,0.738
