Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,3,90.0,0.929,0.875,0.867,0.933,0.933,0.9,0.982
5,30,2,93.333,1.0,0.882,0.867,1.0,1.0,0.933,1.0
5,30,10,66.667,1.0,0.6,0.333,1.0,1.0,0.625,0.853
10,30,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,35,6,82.857,0.938,0.737,0.75,0.933,0.933,0.828,0.913
5,35,3,91.429,0.947,0.875,0.9,0.933,0.933,0.913,0.933
10,35,12,65.714,0.9,0.56,0.45,0.933,0.933,0.65,0.857
20,35,10,71.429,0.857,0.679,0.4,0.95,0.95,0.669,0.893
5,35,4,88.571,1.0,0.833,0.733,1.0,1.0,0.878,0.96
10,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.787
