Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,14,48.148,0.368,0.75,0.778,0.333,0.333,0.481,0.694
0,27,14,48.148,0.222,0.611,0.222,0.611,0.611,0.417,0.448
10,27,14,48.148,0.368,0.75,0.778,0.333,0.333,0.481,0.509
5,27,14,48.148,0.308,0.643,0.444,0.5,0.5,0.463,0.463
5,36,17,52.778,0.533,0.524,0.444,0.611,0.611,0.524,0.506
5,36,16,55.556,0.536,0.625,0.833,0.278,0.278,0.518,0.552
5,36,16,55.556,0.545,0.571,0.667,0.444,0.444,0.55,0.645
5,36,18,50.0,0.5,0.5,0.333,0.667,0.667,0.486,0.423
5,36,19,47.222,0.478,0.462,0.611,0.333,0.333,0.462,0.478
5,36,21,41.667,0.385,0.435,0.278,0.556,0.556,0.405,0.394
