Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,4,85.185,0.778,0.889,0.778,0.889,0.889,0.833,0.91
5,27,9,66.667,0.5,0.714,0.333,0.833,0.833,0.585,0.698
5,27,14,48.148,0.0,0.591,0.0,0.722,0.722,0.325,0.451
5,27,8,70.37,1.0,0.692,0.111,1.0,1.0,0.509,0.735
5,36,8,77.778,0.857,0.727,0.667,0.889,0.889,0.775,0.864
5,36,16,55.556,1.0,0.529,0.111,1.0,1.0,0.446,0.367
5,36,10,72.222,0.786,0.682,0.611,0.833,0.833,0.719,0.827
5,36,20,44.444,0.333,0.467,0.111,0.778,0.778,0.375,0.34
5,36,11,69.444,0.733,0.667,0.611,0.778,0.778,0.692,0.809
5,36,12,66.667,1.0,0.6,0.333,1.0,1.0,0.625,0.981
