Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,5,83.333,0.917,0.778,0.733,0.933,0.933,0.832,0.956
10,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.88
15,30,12,60.0,0.579,0.636,0.733,0.467,0.467,0.593,0.769
5,30,5,83.333,0.917,0.778,0.733,0.933,0.933,0.832,0.933
15,35,6,82.857,0.792,0.909,0.95,0.667,0.667,0.816,0.943
10,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.983
5,35,10,71.429,0.857,0.619,0.6,0.867,0.867,0.714,0.827
10,35,18,48.571,0.333,0.538,0.2,0.7,0.7,0.429,0.503
10,35,8,77.143,0.769,0.773,0.667,0.85,0.85,0.762,0.827
10,35,13,62.857,0.562,0.684,0.6,0.65,0.65,0.624,0.67
