Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,27,5,81.481,0.833,0.81,0.556,0.944,0.944,0.769,0.846
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.568
15,27,8,70.37,0.6,0.727,0.333,0.889,0.889,0.614,0.846
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.488
5,36,17,52.778,1.0,0.514,0.056,1.0,1.0,0.392,0.855
5,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.793
15,36,11,69.444,0.889,0.63,0.444,0.944,0.944,0.674,0.748
5,36,7,80.556,1.0,0.72,0.611,1.0,1.0,0.798,0.972
5,36,3,91.667,0.895,0.941,0.944,0.889,0.889,0.917,0.96
5,36,3,91.667,1.0,0.857,0.833,1.0,1.0,0.916,0.96
