Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,5,83.333,0.857,0.812,0.8,0.867,0.867,0.833,0.929
20,30,5,83.333,0.917,0.778,0.733,0.933,0.933,0.832,0.804
5,30,8,73.333,1.0,0.652,0.467,1.0,1.0,0.713,0.844
10,30,9,70.0,0.875,0.636,0.467,0.933,0.933,0.683,0.84
10,35,9,74.286,0.923,0.636,0.6,0.933,0.933,0.742,0.957
15,35,11,68.571,1.0,0.577,0.45,1.0,1.0,0.676,0.973
10,35,8,77.143,0.833,0.706,0.75,0.8,0.8,0.77,0.837
5,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.793
10,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.957
20,35,9,74.286,1.0,0.69,0.4,1.0,1.0,0.694,0.8
