Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,14,48.148,0.353,0.7,0.667,0.389,0.389,0.481,0.432
5,27,9,66.667,0.5,0.696,0.222,0.889,0.889,0.544,0.66
5,27,8,70.37,1.0,0.692,0.111,1.0,1.0,0.509,0.858
5,27,12,55.556,0.0,0.625,0.0,0.833,0.833,0.357,0.333
5,36,20,44.444,0.0,0.471,0.0,0.889,0.889,0.308,0.315
5,36,9,75.0,1.0,0.667,0.5,1.0,1.0,0.733,0.92
5,36,20,44.444,0.25,0.469,0.056,0.833,0.833,0.345,0.576
5,36,14,61.111,0.75,0.571,0.333,0.889,0.889,0.579,0.556
5,36,16,55.556,0.75,0.531,0.167,0.944,0.944,0.476,0.747
5,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.849
