model FS_PM,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
glmnet_glmnet,5,Ser+mMP7Seru,JS+3D_Sc_Sf_JS,C+C_highGreyLevelRun,Af+Af_BSBV,clinic+Headache
rf_glmnet,5,Sal+eNA78SAL,Af+Af_TbTh,clinic+LowerBackPain,Af+Af_runLengthNonunif,clinic+Headache
xgbTree_glmnet,10,Ser+eNA78Seru,Af+Af_entropy,Af+Af_TbTh,Ser+vECadherinSeru,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,clinic+MouthOpen,clinic+Headache,Af+Af_longRunHighGrey,C+C_shortRunLowGrey
lda2_glmnet,10,C+C_shortRunHighGrey,Af+Af_highGreyLevelRun,C+C_lowGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_BSBV,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunEmph,Af+Af_lowGreyLevelRun,Af+Af_TbSp
nnet_glmnet,10,Af+Af_BVTV,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_BSBV,Ser+eNA78Seru,C+C_TbN,C+C_longRunEmph,Sal+oPGSAL,C+C_correlation,C+C_runLengthNonunif
glmboost_glmnet,10,Af+Af_shortRunLowGrey,Sal+eNA78SAL,demo+Age,Ser+bDNFSeru,C+C_shortRunLowGrey,Af+Af_highGreyLevelRun,Af+Af_shortRunEmph,clinic+Headache,Af+Af_BSBV,Ser+oPGSeru
AUC_glmnet,5,Ser+mMP7Seru,JS+3D_Sc_Sf_JS,C+C_highGreyLevelRun,Af+Af_BSBV,clinic+Headache
glmnet_svmLinear,5,Sal+vEGFSAL,Ser+eNA78Seru,Ser+bDNFSeru,clinic+Headache,Af+Af_BSBV
rf_svmLinear,5,Sal+oPGSAL,JS+3D_Sc_Sf_JS,Af+Af_shortRunHighGrey,clinic+RestlessSleep,clinic+Headache
xgbTree_svmLinear,5,Sal+tRANCESAL,clinic+LowerBackPain,clinic+Headache,C+C_correlation,clinic+RestlessSleep
