Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,12,55.556,0.333,0.667,0.333,0.667,0.667,0.5,0.623
0,27,11,59.259,0.0,0.64,0.0,0.889,0.889,0.372,0.556
5,27,9,66.667,0.5,0.68,0.111,0.944,0.944,0.486,0.617
10,27,9,66.667,0.5,0.765,0.556,0.722,0.722,0.635,0.821
10,36,8,77.778,1.0,0.692,0.556,1.0,1.0,0.766,0.938
5,36,15,58.333,0.714,0.552,0.278,0.889,0.889,0.54,0.642
5,36,9,75.0,0.909,0.68,0.556,0.944,0.944,0.74,0.787
15,36,9,75.0,0.909,0.68,0.556,0.944,0.944,0.74,0.718
5,36,16,55.556,0.625,0.536,0.278,0.833,0.833,0.518,0.596
5,36,11,69.444,1.0,0.621,0.389,1.0,1.0,0.663,0.898
