Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,3,90.0,0.929,0.875,0.867,0.933,0.933,0.9,0.947
5,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.92
10,30,6,80.0,1.0,0.714,0.6,1.0,1.0,0.792,0.931
10,30,8,73.333,0.818,0.684,0.6,0.867,0.867,0.729,0.871
15,35,10,71.429,1.0,0.6,0.5,1.0,1.0,0.708,0.807
5,35,6,82.857,1.0,0.714,0.7,1.0,1.0,0.828,0.967
10,35,14,60.0,1.0,0.517,0.3,1.0,1.0,0.572,0.897
20,35,7,80.0,0.9,0.76,0.6,0.95,0.95,0.782,0.79
15,35,4,88.571,0.923,0.864,0.8,0.95,0.95,0.881,0.983
20,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.96
