Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,13,56.667,0.571,0.562,0.533,0.6,0.6,0.566,0.542
10,30,15,50.0,0.5,0.5,0.6,0.4,0.4,0.495,0.573
15,30,14,53.333,0.545,0.526,0.4,0.667,0.667,0.525,0.56
15,30,12,60.0,0.667,0.571,0.4,0.8,0.8,0.583,0.48
20,35,15,57.143,0.647,0.5,0.55,0.6,0.6,0.57,0.592
5,35,18,48.571,0.571,0.429,0.4,0.6,0.6,0.485,0.5
15,35,18,48.571,0.55,0.4,0.55,0.4,0.4,0.475,0.597
5,35,20,42.857,0.368,0.5,0.467,0.4,0.4,0.428,0.39
5,35,21,40.0,0.364,0.462,0.533,0.3,0.3,0.398,0.497
15,35,18,48.571,0.385,0.545,0.333,0.6,0.6,0.464,0.493
