Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,4,85.185,0.727,0.938,0.889,0.833,0.833,0.841,0.975
15,27,15,44.444,0.125,0.579,0.111,0.611,0.611,0.356,0.352
15,27,2,92.593,0.818,1.0,1.0,0.889,0.889,0.921,0.889
5,27,6,77.778,1.0,0.75,0.333,1.0,1.0,0.679,0.599
5,36,6,83.333,0.875,0.8,0.778,0.889,0.889,0.833,0.772
5,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.571
5,36,6,83.333,0.875,0.8,0.778,0.889,0.889,0.833,0.769
5,36,12,66.667,0.8,0.615,0.444,0.889,0.889,0.649,0.676
5,36,18,50.0,0.5,0.5,0.056,0.944,0.944,0.377,0.568
15,36,14,61.111,1.0,0.562,0.222,1.0,1.0,0.542,0.802
