Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,8,70.37,0.545,0.812,0.667,0.722,0.722,0.682,0.648
5,27,4,85.185,0.778,0.889,0.778,0.889,0.889,0.833,0.944
20,27,5,81.481,0.643,1.0,1.0,0.722,0.722,0.811,0.907
5,27,12,55.556,0.364,0.688,0.444,0.611,0.611,0.524,0.463
5,36,13,63.889,0.692,0.609,0.5,0.778,0.778,0.632,0.63
5,36,3,91.667,0.895,0.941,0.944,0.889,0.889,0.917,0.883
15,36,10,72.222,0.786,0.682,0.611,0.833,0.833,0.719,0.778
10,36,16,55.556,0.75,0.531,0.167,0.944,0.944,0.476,0.63
15,36,17,52.778,0.6,0.516,0.167,0.889,0.889,0.457,0.602
10,36,7,80.556,0.824,0.789,0.778,0.833,0.833,0.805,0.841
