Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.982
20,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.991
20,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.956
5,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.94
10,35,6,82.857,1.0,0.714,0.7,1.0,1.0,0.828,0.953
5,35,8,77.143,1.0,0.652,0.6,1.0,1.0,0.77,0.89
10,35,6,82.857,1.0,0.714,0.7,1.0,1.0,0.828,0.987
20,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.977
5,35,7,80.0,0.9,0.76,0.6,0.95,0.95,0.782,0.907
5,35,4,88.571,0.867,0.9,0.867,0.9,0.9,0.883,0.963
