Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,7,76.667,0.833,0.722,0.667,0.867,0.867,0.764,0.818
5,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.929
5,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,0.982
20,30,7,76.667,1.0,0.682,0.533,1.0,1.0,0.753,0.796
20,35,14,60.0,1.0,0.517,0.3,1.0,1.0,0.572,0.723
10,35,7,80.0,0.933,0.7,0.7,0.933,0.933,0.8,0.84
15,35,13,62.857,1.0,0.536,0.35,1.0,1.0,0.608,0.853
5,35,8,77.143,1.0,0.714,0.467,1.0,1.0,0.735,0.713
20,35,6,82.857,0.909,0.792,0.667,0.95,0.95,0.816,0.94
5,35,8,77.143,1.0,0.714,0.467,1.0,1.0,0.735,0.89
