Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,3,90.0,0.929,0.875,0.867,0.933,0.933,0.9,0.933
10,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.938
5,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.942
20,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.92
20,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.983
20,35,10,71.429,1.0,0.6,0.5,1.0,1.0,0.708,0.917
15,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.923
5,35,1,97.143,1.0,0.952,0.933,1.0,1.0,0.971,0.95
5,35,4,88.571,1.0,0.833,0.733,1.0,1.0,0.878,0.923
5,35,2,94.286,1.0,0.909,0.867,1.0,1.0,0.94,0.957
