Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.953
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.975
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.923
10,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.903,0.861,0.838
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.953
5,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.87,0.804,0.888
10,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.896
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.877
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.893
20,70,2,97.143,0.882,1.0,1.0,0.964,0.964,0.972,0.959,0.996
