Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.927
5,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.888,0.838,0.896
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.931
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.916
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.943
15,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.86,0.797,0.855
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.875
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.954
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.907
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.905
