Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.914
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.887
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.895
20,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.866,0.794,0.803
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.865
15,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.793
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.853,0.777,0.878
20,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.845,0.772,0.792
15,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.973
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.863
