Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.877
10,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.949
10,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.905
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.914
15,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.952
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.914
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.916
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.964
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.878
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.89
