Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.928
10,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.972
10,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.894
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.987
10,70,9,87.143,0.65,0.96,0.867,0.873,0.873,0.878,0.829,0.901
5,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.908
5,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.866,0.794,0.864
15,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.873,0.814,0.872
20,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.955
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.904
