Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.941
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.946
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.855
20,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.933
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.977
10,70,14,80.0,0.6,0.815,0.2,0.964,0.964,0.758,0.592,0.773
15,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.849,0.748,0.887
10,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.927
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.97
20,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.869,0.784,0.918
