Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1,87.5,1.0,0.857,0.5,1.0,1.0,0.859,0.795,1.0
8,1,87.5,1.0,0.857,0.5,1.0,1.0,0.859,0.795,1.0
8,1,87.5,1.0,0.857,0.5,1.0,1.0,0.859,0.795,1.0
