Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.977
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.927
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.92
5,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.941
15,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.959
20,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.803,0.676,0.781
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.949
10,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.981
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.958,0.938,0.979
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.947
