Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.893
15,70,11,84.286,1.0,0.833,0.267,1.0,1.0,0.805,0.665,0.862
10,70,13,81.429,0.625,0.839,0.333,0.945,0.945,0.792,0.662,0.688
15,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.888,0.818,0.939
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.973
20,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.838
10,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.869,0.784,0.899
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.944
20,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.824,0.714,0.842
15,70,13,81.429,0.75,0.818,0.2,0.982,0.982,0.769,0.604,0.914
