Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.984
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.891
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.982
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.971
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.966
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.992
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.918
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.971,0.955,0.996
15,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.853,0.777,0.913
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.994
