Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.983
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.988
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.994
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.948
15,70,3,95.714,0.833,1.0,1.0,0.945,0.945,0.958,0.941,0.993
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.952
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.955
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.971,0.958,0.984
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.932
15,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.95
