Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.875
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.919
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.902
10,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.803,0.676,0.851
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.879
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.862
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.988
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.962
5,70,11,84.286,0.7,0.867,0.467,0.945,0.945,0.831,0.732,0.867
5,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.954
