Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,30,57.143,0.297,0.879,0.733,0.527,0.527,0.609,0.541,0.56
15,70,37,47.143,0.211,0.781,0.533,0.455,0.455,0.516,0.438,0.518
5,70,27,61.429,0.312,0.868,0.667,0.6,0.6,0.649,0.568,0.642
5,70,33,52.857,0.25,0.824,0.6,0.509,0.509,0.57,0.491,0.538
20,70,29,58.571,0.294,0.861,0.667,0.564,0.564,0.623,0.545,0.598
10,70,24,65.714,0.263,0.804,0.333,0.745,0.745,0.671,0.534,0.553
20,70,44,37.143,0.163,0.704,0.467,0.345,0.345,0.416,0.352,0.415
20,70,29,58.571,0.267,0.825,0.533,0.6,0.6,0.622,0.525,0.588
5,70,34,51.429,0.212,0.784,0.467,0.527,0.527,0.558,0.461,0.441
5,70,34,51.429,0.194,0.769,0.4,0.545,0.545,0.557,0.45,0.506
