Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,35,50.0,0.222,0.794,0.533,0.491,0.491,0.544,0.46,0.503
20,70,47,32.857,0.1,0.633,0.267,0.345,0.345,0.382,0.296,0.353
5,70,37,47.143,0.194,0.765,0.467,0.473,0.473,0.518,0.429,0.523
5,70,33,52.857,0.263,0.844,0.667,0.491,0.491,0.569,0.499,0.568
5,70,28,60.0,0.24,0.8,0.4,0.655,0.655,0.63,0.51,0.563
10,70,40,42.857,0.222,0.8,0.667,0.364,0.364,0.464,0.417,0.484
10,70,34,51.429,0.212,0.784,0.467,0.527,0.527,0.558,0.461,0.445
5,70,43,38.571,0.208,0.773,0.667,0.309,0.309,0.415,0.38,0.487
5,70,35,50.0,0.237,0.812,0.6,0.473,0.473,0.542,0.469,0.484
5,70,33,52.857,0.219,0.789,0.467,0.545,0.545,0.571,0.472,0.498
