Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,41,41.429,0.19,0.75,0.533,0.382,0.382,0.458,0.393,0.51
5,70,29,58.571,0.208,0.783,0.333,0.655,0.655,0.615,0.485,0.545
20,70,37,47.143,0.261,0.875,0.8,0.382,0.382,0.502,0.463,0.531
15,70,35,50.0,0.167,0.75,0.333,0.545,0.545,0.544,0.427,0.493
10,70,40,42.857,0.234,0.826,0.733,0.345,0.345,0.459,0.421,0.538
15,70,36,48.571,0.161,0.744,0.333,0.527,0.527,0.531,0.417,0.513
5,70,37,47.143,0.194,0.765,0.467,0.473,0.473,0.518,0.429,0.473
20,70,39,44.286,0.147,0.722,0.333,0.473,0.473,0.493,0.388,0.388
15,70,38,45.714,0.205,0.774,0.533,0.436,0.436,0.502,0.427,0.526
15,70,42,40.0,0.171,0.724,0.467,0.382,0.382,0.446,0.375,0.408
