Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,38,45.714,0.171,0.743,0.4,0.473,0.473,0.505,0.409,0.409
20,70,28,60.0,0.314,0.886,0.733,0.564,0.564,0.636,0.564,0.544
10,70,33,52.857,0.235,0.806,0.533,0.527,0.527,0.571,0.482,0.442
5,70,32,54.286,0.226,0.795,0.467,0.564,0.564,0.583,0.482,0.556
10,70,23,67.143,0.375,0.921,0.8,0.636,0.636,0.701,0.632,0.741
5,70,30,57.143,0.174,0.766,0.267,0.655,0.655,0.6,0.458,0.447
10,70,34,51.429,0.229,0.8,0.533,0.509,0.509,0.557,0.471,0.547
15,70,30,57.143,0.222,0.791,0.4,0.618,0.618,0.606,0.49,0.578
5,70,32,54.286,0.242,0.811,0.533,0.545,0.545,0.584,0.493,0.51
5,70,40,42.857,0.209,0.778,0.6,0.382,0.382,0.469,0.411,0.496
