Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,34,51.429,0.172,0.756,0.333,0.564,0.564,0.556,0.437,0.458
20,70,57,18.571,0.062,0.455,0.2,0.182,0.182,0.224,0.177,0.182
5,70,40,42.857,0.097,0.692,0.2,0.491,0.491,0.479,0.352,0.336
5,70,44,37.143,0.163,0.704,0.467,0.345,0.345,0.416,0.352,0.39
5,70,21,70.0,0.35,0.84,0.467,0.764,0.764,0.714,0.6,0.539
15,70,29,58.571,0.208,0.783,0.333,0.655,0.655,0.615,0.485,0.516
5,70,23,67.143,0.346,0.864,0.6,0.691,0.691,0.697,0.603,0.655
20,70,44,37.143,0.191,0.739,0.6,0.309,0.309,0.405,0.363,0.435
5,70,34,51.429,0.172,0.756,0.333,0.564,0.564,0.556,0.437,0.44
5,70,33,52.857,0.154,0.75,0.267,0.6,0.6,0.566,0.431,0.468
