Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,33,52.857,0.2,0.775,0.4,0.564,0.564,0.57,0.46,0.475
10,70,34,51.429,0.256,0.839,0.667,0.473,0.473,0.554,0.488,0.573
5,70,26,62.857,0.296,0.837,0.533,0.655,0.655,0.659,0.558,0.547
10,70,28,60.0,0.118,0.755,0.133,0.727,0.727,0.609,0.433,0.435
5,70,35,50.0,0.188,0.763,0.4,0.527,0.527,0.545,0.439,0.457
5,70,31,55.714,0.136,0.75,0.2,0.655,0.655,0.584,0.431,0.43
15,70,29,58.571,0.294,0.861,0.667,0.564,0.564,0.623,0.545,0.606
5,70,30,57.143,0.286,0.857,0.667,0.545,0.545,0.61,0.533,0.659
20,70,39,44.286,0.184,0.75,0.467,0.436,0.436,0.49,0.408,0.416
5,70,20,71.429,0.273,0.797,0.2,0.855,0.855,0.697,0.528,0.522
