Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.849,0.764,0.884
10,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.916,0.878,0.972
15,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.784
15,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.836,0.748,0.744
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.97
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.905
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.899
5,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.891
10,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.8,0.683,0.733
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.853,0.777,0.852
