Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.916,0.878,0.973
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.961
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.961
15,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.916,0.878,0.945
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.949
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.953
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.947
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.971,0.955,0.995
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.95
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.977
