Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.827,0.708,0.869
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.931
20,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.902
20,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.857,0.788,0.902
20,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.91
20,70,11,84.286,0.833,0.844,0.333,0.982,0.982,0.815,0.692,0.875
20,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.824,0.714,0.81
20,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.866,0.794,0.892
15,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.849,0.764,0.903
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.936
