Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.945
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.981
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.984
15,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.916,0.878,0.973
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.952
15,70,12,82.857,0.6,0.891,0.6,0.891,0.891,0.829,0.745,0.878
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.886
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.971,0.955,0.999
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.85
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.941
