Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.86,0.797,0.88
5,70,7,90.0,0.7,0.98,0.933,0.891,0.891,0.905,0.867,0.96
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.96
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.936
10,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.888,0.838,0.922
15,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.836,0.748,0.893
15,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.886,0.83,0.91
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.938
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.976
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.926
