Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.947
15,70,7,90.0,0.7,0.98,0.933,0.891,0.891,0.905,0.867,0.964
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.943
20,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.888,0.838,0.91
10,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.886,0.83,0.914
10,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.818,0.717,0.902
15,70,13,81.429,0.583,0.862,0.467,0.909,0.909,0.806,0.702,0.891
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.968
20,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.886,0.83,0.898
20,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.907
