Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,18,74.286,0.4,0.836,0.4,0.836,0.836,0.743,0.618,0.684
15,70,8,88.571,0.652,1.0,1.0,0.855,0.855,0.893,0.856,0.988
10,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.971,0.955,0.931
20,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.955
10,70,26,62.857,0.296,0.837,0.533,0.655,0.655,0.659,0.558,0.629
10,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.845,0.772,0.89
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.901,0.855,0.907
15,70,10,85.714,0.632,0.941,0.8,0.873,0.873,0.863,0.806,0.915
10,70,17,75.714,0.455,0.896,0.667,0.782,0.782,0.772,0.688,0.702
15,70,16,77.143,0.467,0.855,0.467,0.855,0.855,0.771,0.661,0.647
