Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.979
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.948
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.933
5,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.873,0.814,0.907
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.956
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.989
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.958
5,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.986,0.978,0.999
5,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.87,0.804,0.851
5,70,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
