Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,25,64.286,0.321,0.857,0.6,0.655,0.655,0.673,0.58,0.709
10,70,24,65.714,0.286,0.816,0.4,0.727,0.727,0.676,0.551,0.673
20,70,11,84.286,0.643,0.893,0.6,0.909,0.909,0.841,0.761,0.879
20,70,27,61.429,0.286,0.833,0.533,0.636,0.636,0.647,0.547,0.625
20,70,17,75.714,0.438,0.852,0.467,0.836,0.836,0.76,0.648,0.737
20,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.931,0.901,0.961
20,70,20,71.429,0.333,0.818,0.333,0.818,0.818,0.714,0.576,0.708
20,70,28,60.0,0.276,0.829,0.533,0.618,0.618,0.634,0.536,0.625
10,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.866,0.794,0.867
15,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.873,0.814,0.937
