Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,24,65.714,0.333,0.86,0.6,0.673,0.673,0.685,0.592,0.745
10,70,9,87.143,0.667,0.942,0.8,0.891,0.891,0.875,0.822,0.907
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.958
5,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.886,0.83,0.941
10,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.903,0.861,0.874
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.909
15,70,14,80.0,0.522,0.936,0.8,0.8,0.8,0.813,0.747,0.863
15,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.857,0.788,0.924
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.89
15,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.937
