Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.888,0.838,0.936
5,70,15,78.571,0.5,0.935,0.8,0.782,0.782,0.801,0.733,0.901
5,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.812,0.698,0.832
15,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.961
10,70,16,77.143,0.471,0.868,0.533,0.836,0.836,0.776,0.676,0.759
15,70,12,82.857,0.588,0.906,0.667,0.873,0.873,0.832,0.757,0.855
5,70,13,81.429,0.556,0.904,0.667,0.855,0.855,0.82,0.742,0.874
15,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.943
20,70,18,74.286,0.435,0.894,0.667,0.764,0.764,0.76,0.675,0.839
10,70,15,78.571,0.5,0.9,0.667,0.818,0.818,0.796,0.714,0.89
